City,Date,numPeople,numFamilies,Precipitation,Humidity,TempF,TempC,Tidal,Elevation
Jawa Barat,2022-09-23,3887,1252,0.2,77.0,80.7,27.1,0.007468879668049785,733.0
Banten,2022-09-22,7510,1502,2.7,77.0,82.3,28.0,0.001493775933609963,64.37109375
Sulawesi Tengah,2022-09-22,500,100,0.5,84.0,78.1,25.6,-0.0007468879668049696,1080.984375
Sulawesi Tenggara,2022-09-22,151,38,3.6,84.0,79.6,26.4,0.006763485477178426,884.65625
Aceh,2022-09-21,246,76,1.3,58.0,76.3,24.6,0.01402489626556017,1220.890625
Sumatera Barat,2022-09-21,400,80,2.2,83.0,79.6,26.5,0.0010788381742738546,384.66015625
Sulawesi Tengah,2022-09-21,1500,300,0.5,81.0,82.4,28.0,-0.0015352697095435647,1080.984375
Sulawesi Tengah,2022-09-21,1500,300,0.5,81.0,82.4,28.0,-0.0015352697095435647,1080.984375
Sulawesi Selatan,2022-09-20,1145,316,2.2,74.0,83.6,28.7,-0.0009128630705394065,532.796875
Jawa Barat,2022-09-20,1784,443,0.0,74.0,79.8,26.5,0.0014107883817427369,733.0
Sumatera Barat,2022-09-19,710,142,2.5,82.0,79.3,26.3,-0.0029045643153526976,384.66015625
Bengkulu,2022-09-18,2180,436,0.9,82.0,79.7,26.5,-0.006058091286307056,659.7421875
Jawa Barat,2022-09-17,297,91,0.0,72.0,80.3,26.9,-0.007178423236514528,733.0
Sumatera Utara,2022-09-17,395,79,2.5,73.0,83.8,28.8,-0.007344398340248953,1703.65625
Kalimantan Tengah,2022-09-17,1470,294,0.2,82.0,82.0,27.8,-0.00937759336099585,72.46484375
Kalimantan Tengah,2022-09-16,4251,1162,2.1,87.0,80.2,26.8,-0.010165975103734445,72.46484375
Kalimantan Tengah,2022-09-14,2484,804,6.8,93.0,77.9,25.5,-0.00609958506224066,72.46484375
Kalimantan Tengah,2022-09-14,6315,1263,6.8,93.0,77.9,25.5,-0.00609958506224066,72.46484375
Jambi,2022-09-13,1860,372,0.8,86.0,80.1,26.7,-0.005269709543568465,34.81640625
Kalimantan Barat,2022-09-13,14679,4246,6.2,90.0,77.4,25.2,-0.013817427385892114,114.5390625
Jawa Tengah,2022-09-12,254,47,0.3,80.0,80.5,26.9,-0.0007053941908713683,2632.81640625
Sumatera Selatan,2022-09-12,5320,1064,0.5,80.0,82.3,27.9,-0.007966804979253107,18.734375
Kalimantan Timur,2022-09-12,2150,527,4.1,88.0,80.8,27.1,-0.0004979253112033206,141.9765625
Sumatera Selatan,2022-09-12,3950,790,0.5,80.0,82.3,27.9,-0.007966804979253107,18.734375
Jawa Timur,2022-09-11,140,28,1.6,80.0,79.6,26.5,-0.003900414937759333,1072.65625
